osm_id,code,fclass,population,name,X,Y
369501591,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ƒß×Âß×ÿß×éßƒÆß×éß×©ß×ÿß×Âß×ôß×çßƒÉß×Ö,104.60228140000,11.87528200000
369501631,1003,village,0,Banteay Khmer,104.57026700000,11.61922000000
369501700,1003,village,0,Ampil Phsem,104.52739020000,11.56667750000
369501741,1003,village,0,ß×âß×?ßƒåß×ÇßƒÆß×ƒßƒüß×ÿß×ÇßƒÆß×ƒß×Âß×ôßƒÆß×è,104.70022980000,11.68374970000
369501901,1001,city,0,ß×ÇßƒÆß×Üß×?ß×äß×ûßƒÆß×Üßƒâß×£ßƒéß×ä,105.33636060000,11.48562260000
369502034,1003,village,0,ß×ÇßƒÆß×Üß×Âßƒåß×äß×Üß×øß×¢ß×ƒ,104.66505790000,11.44380460000
369502069,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×óß×äßƒÆß×éß×ƒßƒÆß×ôß×¢ß×ø,104.73460460000,11.50828480000
369502254,1003,village,0,ß×ƒß×äßƒÆß×Çß×Âß×Åßƒïß×ƒßƒÆß×ôßƒäß×Ü,104.75932430000,11.57386110000
369502341,1001,city,41700,ß×ÇßƒÆß×Üß×?ß×äß×Çßƒåß×ûß×äßƒïß×åßƒÆß×ôß×Âßƒåß×ä,104.66583890000,12.25360260000
369502767,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ƒßƒåß×Üßƒäß×äß×æß×ä,104.59384920000,11.47535110000
369502800,1003,village,0,ß×éß×éßƒÆß×Üß×¢ß×ƒ,104.64723790000,11.35717980000
369502813,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×éß×äß×ûß×Àß×ƒß×©,104.62697580000,11.28941080000
369502906,1003,village,0,Peak Chamlak,106.05418330000,12.33616850000
369502994,1002,town,0,ß×ƒßƒÆß×Üß×?ß×ÇÔÇïß×ûßƒÆß×Üßƒéß×Çß×ößƒÆß×Üß×ƒß×ûßƒÆß×£,106.02989850000,12.35045690000
369503026,1003,village,0,Kaoh Chreng,106.03873140000,12.37486970000
369503088,1003,village,0,Trung Trß??c,105.83642050000,10.91984950000
369503093,1003,village,0,Roha,105.95553990000,12.46709930000
369503097,1004,hamlet,0,Prek Chik,105.97660810000,12.51526540000
369503119,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×ƒßƒÆß×£ß×Âß×Öß×æß×Âß×ö,105.88064720000,11.04881710000
369503142,1002,town,0,Hai B?¼nh Tß?®,105.77093640000,11.01703570000
369503178,1001,city,0,ß×ÇßƒÆß×Üß×?ß×äß×ƒßƒÆß×£ß×Âß×Öß×ÜßƒÇß×ä,105.79748740000,11.08009500000
369503424,1002,town,0,ß×ƒßƒÆß×Üß×?ß×Çß×Çßƒéß×£ß×ƒß×©ß×ÿß×Â,106.87958010000,12.18842940000
369503497,1003,village,0,Chumni,106.88706850000,12.10701520000
369503630,1003,village,0,Khsim,106.40894240000,12.30349450000
