X_COORD,Y_COORD
103.1654096,13.5754057
103.2445687,13.6248637
103.2210337,13.7086274
103.3785291,13.6310672
103.0792732,13.6969907
104.6441047,10.5258933
104.5688112,11.0512407
105.6877602,11.6162588
105.84353,10.845656
105.865631,10.832294
105.811729,10.936304
105.707274,10.984251
106.012788,10.84005
105.957556,10.85221
106.164708,10.958066
106.199491,10.871007
102.8895714,13.6441455
102.782981,13.6099675
102.7572885,13.5655609
102.8328438,13.5304714
102.822933,13.6496689
102.8351942,13.7273103
102.7378202,13.7374
102.5854871,13.6424227
102.5622688,13.6597298
102.7003994,13.6315654
102.9648068,13.6175852
103.0368099,13.5780457
102.9620529,13.6708318
102.9315361,13.5575298
103.0487352,13.6174063
102.9863153,13.5828301
102.9081956,13.5819882
103.0934719,14.0694373
102.935528,13.9951214
103.0523805,13.9414476
103.1480637,13.8879594
103.0261071,13.9806406
103.0612033,13.8893431
103.1549275,13.817701
103.1195475,13.759706
102.8419408,13.7742935
102.9628788,13.8054986
102.9698263,13.7699563
103.0472572,13.7643945
102.9471226,13.8899882
102.9883113,13.8035946
102.3680025,13.5131183
102.3657833,13.5687169
102.4317522,13.5240854
102.5017998,13.5274362
102.5938233,13.5531144
102.7252954,13.5068435
103.1595196,12.8966496
103.1153725,12.9360308
103.1821759,12.9769769
103.1462857,12.9968151
103.071575,12.8546995
103.0816503,13.0315904
103.0297908,12.9583887
103.0005532,13.0971636
103.1661427,13.2580689
103.1472193,13.3071533
103.1159897,13.1824567
103.106508,13.1147228
102.989521,13.1599631
103.1238137,13.3606097
103.0725515,13.3829668
103.0675146,13.2488094
103.0217393,13.2462594
102.9859483,13.2716429
103.1868626,13.0933619
103.2120123,13.0829164
103.213829,13.1004825
103.1832381,13.1202732
103.1924282,13.1272408
103.195618,13.1455653
103.134455,13.0731686
103.1787181,13.0592191
103.1697462,13.10271
103.1967875,13.0934306
102.8773064,13.2544052
102.9495343,13.2734687
102.9497664,13.3304773
102.7609052,13.3753635
102.7468051,13.286431
102.7828774,13.128746
102.8251435,13.0853871
102.7942189,13.1917749
103.2744763,13.290457
103.2401622,13.1514512
103.2667472,13.1871807
103.3137691,13.2392681
103.1946789,13.2551445
103.3719096,13.340063
103.6106403,13.2458871
103.3950898,12.7918443
103.4440899,12.6902237
103.517301,12.6859927
103.5900788,12.6631289
103.6067428,12.9081689
103.4762089,12.866688
103.4157617,12.8412422
103.3828392,12.9001704
103.388313,12.7141232
102.880573,12.9375162
102.9944452,12.8104927
102.8669054,12.7823285
102.8984533,12.8586283
103.2369489,13.0835335
103.2168386,13.1179291
103.386877,13.1533444
103.3873838,13.0872807
103.3736612,13.0392945
103.3941902,12.97404
103.258426,12.9419519
103.2342122,13.0152558
103.2738484,13.0283828
103.2029218,13.0110986
102.810465,12.4628128
102.9308101,12.5405207
102.9564759,12.7156299
102.7763787,12.5552051
102.7196736,12.6170347
102.7871889,12.7074772
102.8928732,12.6462574
102.6141448,13.3713543
102.4679617,13.365276
102.4341969,13.420873
102.3931586,13.4367762
102.4651388,13.4524157
102.463125,13.4680517
102.5440886,13.3152192
102.422601,13.2216681
102.5323071,13.3526298
102.3643067,13.3530398
102.5507983,13.2597461
102.5357143,13.0310843
102.478646,13.0932601
102.5522027,13.1025969
102.4753039,13.1333572
102.4629165,13.1727631
102.6875764,13.1567698
103.2478186,12.8434672
103.2656741,12.7538067
103.3055801,12.7872473
103.2692546,12.650793
103.1781085,12.775764
103.1623004,12.6514202
103.3551511,12.6131892
103.5215313,12.5643963
104.7137945,11.609557
104.9328156,11.7033428
105.9443574,11.384589
104.6737586,11.5184607
105.0491986,11.6116113
105.1887109,11.5107159
105.1701939,11.4795981
105.1410705,11.4970498
103.4168275,13.5888453
104.19204,10.6065669
104.0032926,13.3551014
105.0479221,11.5017882
105.3257883,12.0961124
103.7673134,13.54893
103.8948941,13.6150082
105.0466829,12.5675175
105.5000353,10.9550434
105.4993272,10.9519466
103.8347711,13.36489
104.6709323,12.155231
104.79139,11.4683444
105.7342776,11.8867129
105.7280204,11.8311903
105.6353313,11.8845665
105.5908048,11.8741176
105.5266648,11.9574325
105.5305226,12.2258739
104.1110586,13.5658709
106.3529464,14.0274496
105.8234169,11.5305197
105.1493395,12.0607274
106.3599945,14.0449809
105.9063453,10.8317126
105.9823588,10.859332
