"","V1","V2","V3","V4","F1","F2","theta_V1","theta_V2","theta_V3","theta_V4","theta_F1","theta_F2"
"866",0.1,0,0,0.4,3,3,0.020870529403458,0.0211543573171537,0.0184282013659286,0.0511152668549272,0.348633846974132,0.161553952719086
"867",0.2,0,0,0.4,3,3,0.0231956888551665,0.0211741616390732,0.0184467311730908,0.0511255827285378,0.348802931282551,0.161766851491983
"868",0.3,0,0,0.4,3,3,0.0260562511276175,0.0211985720705731,0.0184695741941722,0.0511383023622289,0.34901154609808,0.16202948995948
"869",0.4,0,0,0.4,3,3,0.0296377069144524,0.0212292059501582,0.0184982465714189,0.0511542718713729,0.349273667534916,0.162359437850722
"870",0.5,0,0,0.4,3,3,0.0342054663435127,0.0212683927440278,0.0185349331751079,0.0511747113810832,0.349609493041134,0.162782074862275
"871",0,0.1,0,0.4,3,3,0.0189684402979406,0.0232750212029696,0.0184836230264181,0.0511126575806459,0.348591094250778,0.162191117322628
"872",0.1,0.1,0,0.4,3,3,0.0208905579738692,0.0232927903965999,0.0184988648622078,0.0511211545777772,0.348730339152552,0.162366556364327
"873",0.2,0.1,0,0.4,3,3,0.0232177937599821,0.0233143377180919,0.0185173499410526,0.0511314612991071,0.34889932774412,0.162579447273135
"874",0.3,0.1,0,0.4,3,3,0.02608082748439,0.0233408956457936,0.0185401372859421,0.0511441693726572,0.349107819851419,0.162842069633789
"875",0.4,0.1,0,0.4,3,3,0.029665232242455,0.0233742229831452,0.0185687388120659,0.0511601238649952,0.349369778691201,0.163171985770839
"876",0.5,0.1,0,0.4,3,3,0.0342364912749787,0.0234168524841138,0.0186053329732902,0.0511805432161718,0.349705380187212,0.163594560855237
"877",0,0.2,0,0.4,3,3,0.0189904002134728,0.0258570357712733,0.018568613977471,0.0511197381921552,0.348707123578286,0.163170545129474
"878",0.1,0.2,0,0.4,3,3,0.0209146265016459,0.0258764693261223,0.0185838099489,0.0511282261231137,0.348846273675877,0.16334595817274
"879",0.2,0.2,0,0.4,3,3,0.0232443564614177,0.0259000341606325,0.0186022390439035,0.0511385216631985,0.349015144114974,0.163558813180442
"880",0.3,0.2,0,0.4,3,3,0.0261103586251658,0.0259290775377128,0.0186249567404681,0.0511512156213505,0.349223484930769,0.163821383623068
"881",0.4,0.2,0,0.4,3,3,0.0296983047791554,0.0259655217492,0.0186534697003796,0.0511671517908107,0.349485243606804,0.164151220795006
"882",0.5,0.2,0,0.4,3,3,0.0342737654962306,0.026012134358595,0.0186899484243529,0.0511875465689829,0.3498205698813,0.164573669376708
"883",0,0.3,0,0.4,3,3,0.0190171591052254,0.0290237993999311,0.0186722188340605,0.0511283604952781,0.348848477064153,0.16436828353401
"884",0.1,0.3,0,0.4,3,3,0.0209439537284707,0.0290451590015119,0.0186873559748253,0.0511368371378513,0.348987507529111,0.164543629850982
"885",0.2,0.3,0,0.4,3,3,0.0232767212863694,0.0290710583173595,0.0187057132924004,0.0511471187625396,0.349156229030709,0.164756398652074
"886",0.3,0.3,0,0.4,3,3,0.0261463380832006,0.0291029772320748,0.0187283417506396,0.0511597951655014,0.349364379409446,0.165018853564026
"887",0.4,0.3,0,0.4,3,3,0.0297385956490361,0.029143026830158,0.018756741333759,0.0511757085672276,0.349625886606179,0.165348529030508
"888",0.5,0.3,0,0.4,3,3,0.0343191701579625,0.0291942456371998,0.0187930724634206,0.051196072847957,0.349960867942934,0.165770739891809
"889",0,0.4,0,0.4,3,3,0.0190502467333075,0.0329706440336404,0.0188003887789237,0.0511390134736453,0.349023213280813,0.165855827012142
"890",0.1,0.4,0,0.4,3,3,0.0209802153964371,0.032994216903913,0.018815448374865,0.0511474757656011,0.349162089137188,0.166031033185546
"891",0.2,0.4,0,0.4,3,3,0.0233167363580986,0.0330227984674554,0.0188337111366684,0.0511577397114886,0.34933061841312,0.166243625583288
"892",0.3,0.4,0,0.4,3,3,0.0261908186816791,0.0330580206868896,0.018856222126481,0.0511703938293849,0.349538523430698,0.166505851717152
"893",0.4,0.4,0,0.4,3,3,0.0297884011501806,0.0331022109917171,0.0188844726246201,0.0511862783619077,0.349799707370419,0.166835219612356
"894",0.5,0.4,0,0.4,3,3,0.0343752892300875,0.0331587181230751,0.0189206099581159,0.0512066040303331,0.350134246641479,0.16725699923209
"895",0,0.5,0,0.4,3,3,0.0190917576898296,0.0379708758939534,0.0189612839279159,0.0511523650516865,0.349242357139211,0.167732347776236
"896",0.1,0.5,0,0.4,3,3,0.0210257056017404,0.0379969421354472,0.01897623829515,0.0511608086932784,0.349381028015741,0.167907281683114
"897",0.2,0.5,0,0.4,3,3,0.0233669312333431,0.038028544855913,0.0189943728291117,0.0511710496802417,0.349549302834119,0.168119535973611
"898",0.3,0.5,0,0.4,3,3,0.0262466093945176,0.0380674868535836,0.0190167246601233,0.0511836748873266,0.34975688373734,0.168381331364794
"899",0.4,0.5,0,0.4,3,3,0.0298508623026374,0.0381163383810524,0.0190447734127882,0.0511995220190943,0.350017641852995,0.168710133447729
"900",0.5,0.5,0,0.4,3,3,0.034445655564672,0.0381787959006926,0.0190806489419877,0.0512197977590046,0.350351600907254,0.16913114258387
"901",0,0,0.1,0.4,3,3,0.0189662574027458,0.0212045578912514,0.0202934427106588,0.0511119535133462,0.348579559215591,0.16209393074546
"902",0.1,0,0.1,0.4,3,3,0.0208881684438198,0.0212208586697975,0.0203101063373364,0.0511204522873242,0.348718827887425,0.162269493313495
"903",0.2,0,0.1,0.4,3,3,0.0232151605787278,0.0212406255490717,0.020330315570259,0.0511307611791893,0.348887845592833,0.16248253448117
"904",0.3,0,0.1,0.4,3,3,0.0260779054783228,0.0212649893083981,0.0203552281019004,0.0511434719570192,0.349096374105036,0.16274534285315
"905",0.4,0,0.1,0.4,3,3,0.0296619674677176,0.0212955636808826,0.0203864966782593,0.0511594298965591,0.349358379580831,0.163075493854806
"906",0.5,0,0.1,0.4,3,3,0.034232822740739,0.0213346726278794,0.0204265026063037,0.0511798537580071,0.349694042505473,0.16349837198545
"907",0,0.1,0.1,0.4,3,3,0.0189845364712036,0.0233476306437792,0.0203707043769187,0.0511178479355001,0.348676143725795,0.162908709435908
"908",0.1,0.1,0.1,0.4,3,3,0.0209082030516036,0.0233653654750724,0.0203873269304603,0.0511263392613751,0.348815335119865,0.163084264550537
